Dataset,Cost_Human,Relative_Error,Cost_LLM
global_warming,2,0.23169225607361227,2299
global_warming,4,0.23169225607361227,2299
global_warming,6,0.23169225607361227,2299
global_warming,9,0.23169225607361227,2299
global_warming,11,0.23169225607361227,2299
global_warming,13,0.23169225607361227,2299
global_warming,16,0.23169225607361227,2299
global_warming,18,0.23169225607361227,2299
global_warming,20,0.23169225607361227,2299
global_warming,22,0.23169225607361227,2299
global_warming,45,0.23169225607361227,2299
global_warming,68,0.221161108751857,2299
global_warming,91,0.221161108751857,2299
global_warming,114,0.221161108751857,2299
global_warming,137,0.221161108751857,2299
global_warming,160,0.221161108751857,2299
global_warming,183,0.221161108751857,2299
global_warming,206,0.22650690942567875,2299
global_warming,229,0.22650690942567875,2299
global_warming,459,0.22937087465756686,2299
global_warming,689,0.20160599421116335,2299
global_warming,919,0.19244058971780528,2299
global_warming,1149,0.1757782567657039,2299
global_warming,1379,0.046830394611280884,2299
global_warming,1609,0.046177373418294,2299
global_warming,1839,0.03049162553984515,2299
global_warming,2069,0.002701511656561588,2299
global_warming,2299,0.0,2299
