Dataset,Cost_Human,Relative_Error,Cost_LLM
mrpc,3,0.2568157033805889,3668
mrpc,7,0.2568157033805889,3668
mrpc,11,0.25654307524536535,3668
mrpc,14,0.25654307524536535,3668
mrpc,18,0.25654307524536535,3668
mrpc,22,0.25654307524536535,3668
mrpc,25,0.2562704471101418,3668
mrpc,29,0.25599781897491825,3668
mrpc,33,0.2557251908396947,3668
mrpc,36,0.25545256270447114,3668
mrpc,73,0.25354416575790617,3668
mrpc,110,0.2521810250817884,3668
mrpc,146,0.2505452562704471,3668
mrpc,183,0.24972737186477645,3668
mrpc,220,0.2478189749182116,3668
mrpc,256,0.24672846237731738,3668
mrpc,293,0.24563794983642306,3668
mrpc,330,0.2431842966194111,3668
mrpc,366,0.24073064340239914,3668
mrpc,733,0.22519083969465647,3668
mrpc,1100,0.20774263904034895,3668
mrpc,1467,0.19547437295528902,3668
mrpc,1834,0.17448200654307522,3668
mrpc,2200,0.15239912758996732,3668
mrpc,2567,0.12513631406761183,3668
mrpc,2934,0.08833151581243182,3668
mrpc,3301,0.05316248636859322,3668
mrpc,3668,0.0,3668
