Dataset,Cost_Human,Relative_Error,Cost_LLM
implicit_hate,6,0.6560468140442133,6346
implicit_hate,12,0.6560468140442133,6346
implicit_hate,19,0.6553966189856957,6346
implicit_hate,25,0.6560468140442133,6346
implicit_hate,31,0.6560468140442133,6346
implicit_hate,38,0.6553966189856957,6346
implicit_hate,44,0.6560468140442133,6346
implicit_hate,50,0.6553966189856957,6346
implicit_hate,57,0.6553966189856957,6346
implicit_hate,63,0.6553966189856957,6346
implicit_hate,126,0.6547464239271782,6346
implicit_hate,190,0.6553966189856957,6346
implicit_hate,253,0.652145643693108,6346
implicit_hate,317,0.647594278283485,6346
implicit_hate,380,0.6514954486345903,6346
implicit_hate,444,0.6573472041612484,6346
implicit_hate,507,0.659297789336801,6346
implicit_hate,571,0.6664499349804942,6346
implicit_hate,634,0.6677503250975293,6346
implicit_hate,1269,0.6560468140442133,6346
implicit_hate,1903,0.6514954486345903,6346
implicit_hate,2538,0.6339401820546164,6346
implicit_hate,3173,0.5767230169050716,6346
implicit_hate,3807,0.5435630689206762,6346
implicit_hate,4442,0.4291287386215865,6346
implicit_hate,5076,0.2808842652795839,6346
implicit_hate,5711,0.1553966189856958,6346
implicit_hate,6346,0.0,6346
