model_name,num_samples,relative_error
gpt-3.5-turbo,20,27.812909878592624
gpt-3.5-turbo,38,19.07004233174397
gpt-3.5-turbo,56,15.745117493553378
gpt-3.5-turbo,75,13.538037828870022
gpt-3.5-turbo,93,12.167629969371093
gpt-3.5-turbo,111,11.652891844057235
gpt-3.5-turbo,130,10.535049859000283
gpt-3.5-turbo,148,9.732109072605084
gpt-3.5-turbo,166,9.287209135371029
gpt-3.5-turbo,185,8.756956446449957
gpt-3.5-turbo,203,8.27169602888977
gpt-3.5-turbo,221,8.06185187025526
gpt-3.5-turbo,240,7.749365068722103
gpt-3.5-turbo,258,7.26126369133738
gpt-3.5-turbo,276,7.153643182754904
gpt-3.5-turbo,295,6.815234907888654
gpt-3.5-turbo,313,7.02344288321965
gpt-3.5-turbo,331,6.4500899280733535
gpt-3.5-turbo,350,6.305812702289621
