model_name,num_samples,relative_error
gpt-4,20,24.89142822269783
gpt-4,38,18.37727558224817
gpt-4,56,14.730102022834094
gpt-4,75,13.373003629189993
gpt-4,93,11.548174581511942
gpt-4,111,10.663236713682393
gpt-4,130,9.573793229100207
gpt-4,148,9.263579593770295
gpt-4,166,8.554928640358773
gpt-4,185,8.464676423766424
gpt-4,203,7.735116701367926
gpt-4,221,7.289932734895114
gpt-4,240,7.2974807705962
gpt-4,258,7.10796023475817
gpt-4,276,6.757429425384966
gpt-4,295,6.689623135944019
gpt-4,313,6.267619884036894
gpt-4,331,6.008330630080337
gpt-4,350,6.081466065126156
