Dataset,Human_Samples,AvgRelativeError,LLM_Samples
persuasion,0,2.989939637826962,4040
persuasion,100,2.915728370221328,3940
persuasion,200,2.8417022132796776,3840
persuasion,300,2.767817907444668,3740
persuasion,400,2.693721327967807,3640
persuasion,500,2.6199436619718313,3540
persuasion,600,2.545523138832998,3440
persuasion,700,2.4721076458752513,3340
persuasion,800,2.3982102615694165,3240
persuasion,900,2.323292756539235,3140
persuasion,1000,2.250135814889336,3040
persuasion,1100,2.176368209255533,2940
persuasion,1200,2.1014386317907445,2840
persuasion,1300,2.0280010060362175,2740
persuasion,1400,1.9538289738430583,2640
persuasion,1500,1.879797786720322,2540
persuasion,1600,1.8062022132796778,2440
persuasion,1700,1.7316519114688131,2340
persuasion,1800,1.657763581488934,2240
persuasion,1900,1.5837354124748493,2140
persuasion,2000,1.5095080482897383,2040
persuasion,2100,1.435622736418511,1940
persuasion,2200,1.3618822937625754,1840
persuasion,2300,1.287503018108652,1740
persuasion,2400,1.213644869215292,1640
persuasion,2500,1.139727364185111,1540
persuasion,2600,1.0655885311871227,1440
persuasion,2700,0.9912263581488933,1340
persuasion,2800,0.9175221327967806,1240
persuasion,2900,0.8430261569416501,1140
persuasion,3000,0.7692414486921528,1040
persuasion,3100,0.6961961770623742,940
persuasion,3200,0.6214748490945675,840
persuasion,3300,0.5479084507042253,740
persuasion,3400,0.47357243460764586,640
persuasion,3500,0.4000623742454728,540
persuasion,3600,0.32587122736418517,440
persuasion,3700,0.25224949698189136,340
persuasion,3800,0.1775694164989939,240
persuasion,3900,0.10375150905432605,140
persuasion,4000,0.029728370221327995,40
