Dataset,Human_Samples,AvgRelativeError,LLM_Samples
implicit_hate,0,0.6566970091027307,6346
implicit_hate,100,0.6464291287386216,6246
implicit_hate,200,0.6360078023407023,6146
implicit_hate,300,0.6256059817945384,6046
implicit_hate,400,0.61544733420026,5946
implicit_hate,500,0.6047262678803641,5846
implicit_hate,600,0.594486345903771,5746
implicit_hate,700,0.5843582574772431,5646
implicit_hate,800,0.5740695708712614,5546
implicit_hate,900,0.5634577373211964,5446
implicit_hate,1000,0.55305266579974,5346
implicit_hate,1100,0.5429908972691808,5246
implicit_hate,1200,0.5328556566970092,5146
implicit_hate,1300,0.522479843953186,5046
implicit_hate,1400,0.5119642392717816,4946
implicit_hate,1500,0.5018205461638492,4846
implicit_hate,1600,0.49105786736020807,4746
implicit_hate,1700,0.4806814044213264,4646
implicit_hate,1800,0.4701996098829649,4546
implicit_hate,1900,0.46011833550065023,4446
implicit_hate,2000,0.45015084525357607,4346
implicit_hate,2100,0.4399291287386216,4246
implicit_hate,2200,0.4289512353706112,4146
implicit_hate,2300,0.41870676202860857,4046
implicit_hate,2400,0.40818335500650194,3946
implicit_hate,2500,0.3977522756827049,3846
implicit_hate,2600,0.3870305591677503,3746
implicit_hate,2700,0.37733420026007797,3646
implicit_hate,2800,0.3672184655396619,3546
implicit_hate,2900,0.3567373211963589,3446
implicit_hate,3000,0.3460507152145644,3346
implicit_hate,3100,0.3361196358907672,3246
implicit_hate,3200,0.32561898569570874,3146
implicit_hate,3300,0.31462418725617686,3046
implicit_hate,3400,0.3052139141742523,2946
implicit_hate,3500,0.2947620286085826,2846
implicit_hate,3600,0.28430104031209363,2746
implicit_hate,3700,0.273501300390117,2646
implicit_hate,3800,0.2640110533159948,2546
implicit_hate,3900,0.2538550065019506,2446
implicit_hate,4000,0.2431111833550065,2346
implicit_hate,4100,0.23254096228868665,2246
implicit_hate,4200,0.2218647594278284,2146
implicit_hate,4300,0.21176983094928478,2046
implicit_hate,4400,0.2005214564369311,1946
implicit_hate,4500,0.19091677503250978,1846
implicit_hate,4600,0.18060858257477244,1746
implicit_hate,4700,0.17062028608582575,1646
implicit_hate,4800,0.16024642392717817,1546
implicit_hate,4900,0.15005981794538364,1446
implicit_hate,5000,0.13896944083224969,1346
implicit_hate,5100,0.12863524057217168,1246
implicit_hate,5200,0.11892782834850457,1146
implicit_hate,5300,0.1081404421326398,1046
implicit_hate,5400,0.09772756827048115,946
implicit_hate,5500,0.08713003901170353,846
implicit_hate,5600,0.07743107932379716,746
implicit_hate,5700,0.06689791937581276,646
implicit_hate,5800,0.05671911573472043,546
implicit_hate,5900,0.04653901170351108,446
implicit_hate,6000,0.036010403120936306,346
implicit_hate,6100,0.025489596879063735,246
implicit_hate,6200,0.01525032509752928,146
implicit_hate,6300,0.004777633289987005,46
