Dataset,Human_Samples,AvgRelativeError,LLM_Samples
helmet,0,0.897635679742074,40753
helmet,100,0.8954212788823214,40653
helmet,200,0.8932122514777002,40553
helmet,300,0.8910217624932831,40453
helmet,400,0.8887649113379904,40353
helmet,500,0.8866077377753896,40253
helmet,600,0.8843506179473402,40153
helmet,700,0.882271628156905,40053
helmet,800,0.8801004836109618,39953
helmet,900,0.8777987641053199,39853
helmet,1000,0.8755507791509942,39753
helmet,1100,0.8734441160666309,39653
helmet,1200,0.8711509940891993,39553
helmet,1300,0.8690607200429876,39453
helmet,1400,0.866741268135411,39353
helmet,1500,0.8645999462654487,39253
helmet,1600,0.8624497581945191,39153
helmet,1700,0.860303062869425,39053
helmet,1800,0.8580523911875336,38953
helmet,1900,0.8558216012896293,38853
helmet,2000,0.8534535196131112,38753
helmet,2100,0.8512901665771091,38653
helmet,2200,0.8491442772702849,38553
helmet,2300,0.8470824825362708,38453
helmet,2400,0.8448753358409458,38353
helmet,2500,0.8426732939279957,38253
helmet,2600,0.8403463191832348,38153
helmet,2700,0.838346856528748,38053
helmet,2800,0.8360249865663623,37953
helmet,2900,0.8338987103707685,37853
helmet,3000,0.8315204191295003,37753
helmet,3100,0.8294102632993015,37653
helmet,3200,0.8273788285867814,37553
helmet,3300,0.8250365394948951,37453
helmet,3400,0.8226878022568512,37353
helmet,3500,0.8204462654486836,37253
helmet,3600,0.8184755507791509,37153
helmet,3700,0.8160671681891456,37053
helmet,3800,0.8137917786136486,36953
helmet,3900,0.8115486297689415,36853
helmet,4000,0.8095948414830737,36753
helmet,4100,0.8073868887694787,36653
helmet,4200,0.8050803331542181,36553
helmet,4300,0.8027321332616872,36453
helmet,4400,0.8004680279419666,36353
helmet,4500,0.7984828049435788,36253
helmet,4600,0.7962512090274046,36153
helmet,4700,0.7938898441698012,36053
helmet,4800,0.7917302525523913,35953
helmet,4900,0.7897675980655562,35853
helmet,5000,0.7876840408382589,35753
helmet,5100,0.7852520150456744,35653
helmet,5200,0.7831109618484686,35553
helmet,5300,0.7807600752283719,35453
helmet,5400,0.778465878559914,35353
helmet,5500,0.7766990865126276,35253
helmet,5600,0.774190488984417,35153
helmet,5700,0.7721735626007523,35053
helmet,5800,0.7700271359484148,34953
helmet,5900,0.7675988715744224,34853
helmet,6000,0.7656198280494358,34753
helmet,6100,0.7634306824288016,34653
helmet,6200,0.7608989790435251,34553
helmet,6300,0.7589250403009135,34453
helmet,6400,0.7563678130037615,34353
helmet,6500,0.7546507254164428,34253
helmet,6600,0.7523355722729717,34153
helmet,6700,0.7500445996775927,34053
helmet,6800,0.7481523374529823,33953
helmet,6900,0.745578452444922,33853
helmet,7000,0.7435604513702312,33753
helmet,7100,0.7412063406770555,33653
helmet,7200,0.7389269210102095,33553
helmet,7300,0.736578452444922,33453
helmet,7400,0.7346386351423966,33353
helmet,7500,0.7324441160666308,33253
helmet,7600,0.7299795808704999,33153
helmet,7700,0.7277571198280495,33053
helmet,7800,0.7256797420741538,32953
helmet,7900,0.723554003224073,32853
helmet,8000,0.7212675980655561,32753
helmet,8100,0.7191066630843632,32653
helmet,8200,0.7173183772165503,32553
helmet,8300,0.7146012896292318,32453
helmet,8400,0.7126958624395486,32353
helmet,8500,0.7103938742611499,32253
helmet,8600,0.7081587855991401,32153
helmet,8700,0.7061980118216014,32053
helmet,8800,0.704,31953
helmet,8900,0.7013543793659324,31853
helmet,9000,0.6990464803868888,31753
helmet,9100,0.6970067168189146,31653
helmet,9200,0.6948812466415906,31553
helmet,9300,0.692931757119828,31453
helmet,9400,0.6904954325631382,31353
helmet,9500,0.6882068780225686,31253
helmet,9600,0.6859258463191833,31153
helmet,9700,0.6842912412681355,31053
helmet,9800,0.68195754970446,30953
helmet,9900,0.679343632455669,30853
helmet,10000,0.6770972595378829,30753
helmet,10100,0.6752638366469641,30653
helmet,10200,0.6725666308436324,30553
helmet,10300,0.670962654486835,30453
helmet,10400,0.6686088124664159,30353
helmet,10500,0.6662710908113917,30253
helmet,10600,0.664113917248791,30153
helmet,10700,0.66236163353036,30053
helmet,10800,0.6597036539494895,29953
helmet,10900,0.6574580870499731,29853
helmet,11000,0.6553207952713596,29753
helmet,11100,0.6532095647501344,29653
helmet,11200,0.6513820526598604,29553
helmet,11300,0.6487694787748522,29453
helmet,11400,0.6464897904352499,29353
helmet,11500,0.6442810317033854,29253
helmet,11600,0.6421663084363246,29153
helmet,11700,0.6398901128425577,29053
helmet,11800,0.6374911337990328,28953
helmet,11900,0.6358285867813005,28853
helmet,12000,0.6332821063944116,28753
helmet,12100,0.6312087587318645,28653
helmet,12200,0.6289317571198281,28553
helmet,12300,0.6266440085975282,28453
helmet,12400,0.6246703385276734,28353
helmet,12500,0.6224572810317034,28253
helmet,12600,0.6200623320795271,28153
helmet,12700,0.6180427189682967,28053
helmet,12800,0.6156689951638905,27953
helmet,12900,0.613519344438474,27853
helmet,13000,0.6112818377216549,27753
helmet,13100,0.608939548629769,27653
helmet,13200,0.607135142396561,27553
helmet,13300,0.6044978506179474,27453
helmet,13400,0.6022941966684577,27353
helmet,13500,0.600018001074691,27253
helmet,13600,0.5979884470714669,27153
helmet,13700,0.59579795808705,27053
helmet,13800,0.5939728640515852,26953
helmet,13900,0.591119022031166,26853
helmet,14000,0.5895626007522837,26753
helmet,14100,0.5868181085437937,26653
helmet,14200,0.5853447071466953,26553
helmet,14300,0.5825889306824288,26453
helmet,14400,0.5806746372917786,26353
helmet,14500,0.5785370768404084,26253
helmet,14600,0.5763874261149919,26153
helmet,14700,0.5738936055883934,26053
helmet,14800,0.5714715206878023,25953
helmet,14900,0.5694795808704999,25853
helmet,15000,0.5666501880709295,25753
helmet,15100,0.5652614185921547,25653
helmet,15200,0.5631789360558839,25553
helmet,15300,0.5606961311123052,25453
helmet,15400,0.558481461579796,25353
helmet,15500,0.5562466415905428,25253
helmet,15600,0.5544062332079527,25153
helmet,15700,0.5516547555077916,25053
helmet,15800,0.549293390650188,24953
helmet,15900,0.5475873186458894,24853
helmet,16000,0.5451281569048898,24753
helmet,16100,0.5432353573347662,24653
helmet,16200,0.5408796346050511,24553
helmet,16300,0.5391303062869425,24453
