model_name,num_samples,relative_error
llama-13b,20,121.0892857142857
llama-13b,38,78.44686748436747
llama-13b,56,67.97321555545294
llama-13b,75,56.29616540567178
llama-13b,93,50.36452377794619
llama-13b,111,47.128286920681404
llama-13b,130,41.08976647712715
llama-13b,148,39.1747302637485
llama-13b,166,37.287402237651754
llama-13b,185,35.322160215438714
llama-13b,203,33.89179359014038
llama-13b,221,31.762464589125575
llama-13b,240,30.41936920365299
llama-13b,258,29.305026146484295
llama-13b,276,28.909802280314025
llama-13b,295,26.881543397569537
llama-13b,313,26.06410323980482
llama-13b,331,24.983676794618336
llama-13b,350,23.56897375486805
