model_name,num_samples,relative_error
claude-v1,20,33.50111111111111
claude-v1,38,22.297395739181454
claude-v1,56,18.430396350399583
claude-v1,75,15.617678214172022
claude-v1,93,14.134690427597768
claude-v1,111,12.195654797952557
claude-v1,130,11.553824774872977
claude-v1,148,11.153401005617097
claude-v1,166,10.192360610107654
claude-v1,185,9.401816888250043
claude-v1,203,9.213847241794333
claude-v1,221,8.632768287845156
claude-v1,240,8.03445628572298
claude-v1,258,7.764252026495071
claude-v1,276,7.4970903149205075
claude-v1,295,6.964698660813461
claude-v1,313,6.6938711024298225
claude-v1,331,6.399541476697439
claude-v1,350,6.396531445092334
